Compound,ADC2,Wavelength
1,2.18,568.807339449541
2,2.6,476.923076923077
3,2.10273,589.709568037741
4,2.62,473.282442748092
5,2.46248,503.557389298593
6,1.85907,667.000166750042
7,1.95657,633.762144978202
8,2.31419,535.824629784071
9,2.15299,575.943223145486
10,2.06374,600.850882378594
11,2.44327,507.516565913714
12,2.13452,580.92685943444
13,2.2386,553.917627088359
14,1.93771,639.930639775818
15,2.56477,483.474151678318
16,2.25597,549.652699282349
17,2.05549,603.262482425115
18,2.40411,515.783387615375
19,2.02069,613.651772414373
20,1.80423,687.273795469536
21,2.39,518.828451882845
